Email,ایمیل
Name,نام
Submit,ارسال
"* Required Fields","* فیلدهای الزامی"
Telephone,تلفن
"Thanks for contacting us with your comments and questions. We'll respond to you very soon.","از تماس شما ممنونیم. در کمترین زمان ممکن پاسخ شما را خواهیم داد."
"We can't process your request right now. Sorry, that's all we know.","ما نمی‌توانیم درخواست شما را هم اکنون انجام دهیم. متاسفیم، تنها چیزی که می‌دانیم همین است."
"Contact Information","اطلاعات تماس"
Comment,نظر
"Email Template","قالب ایمیل"
Contacts,تماس‌ها
"Contact Us","تماس با ما"
"Enable Contact Us","فعال کردن تماس با ما"
"Email Options","گزینه‌های ایمیل"
"Send Emails To","ارسال ایمیل‌ها به"
"Email Sender","فرستنده ایمیل"
