Status,وضعیت
Description,توصیف
Never,هیچ گاه
Updated,به روز شده
Mode,حالت
"Update on Save","به روز شدن در ذخیره"
Ready,آماده
Processing,در حال انجام
"New Indexer Management","New Indexer Management"
"Update by Schedule","Update by Schedule"
"Reindex required","Reindex required"
"New Index Management","New Index Management"
"Please select indexers.","Please select indexers."
"A total of %1 indexer(s) have been turned Update on Save mode on.","A total of %1 indexer(s) have been turned Update on Save mode on."
"We couldn't change indexer(s)' mode because of an error.","We couldn't change indexer(s)' mode because of an error."
"A total of %1 indexer(s) have been turned Update by Schedule mode on.","A total of %1 indexer(s) have been turned Update by Schedule mode on."
"State for the same indexer","State for the same indexer"
"State for the same view","State for the same view"
Indexer,Indexer
